PlateID,Layout,RowID,ColID,week,BuildDate,Powder,LID,LED,FH,LH,LT1,LT2,LT3,LT4
M,11X11TA,1,11,4.0,8/23/2019,Recycled,0.4158,0.4479,0.053,0.2653,0.0163,0.017,0.0167,0.0159
M,11X11TA,11,7,4.0,8/23/2019,Recycled,0.4164,0.4494,0.0541,0.268,0.0155,0.0153,0.016,0.0153
N,11X11TA,1,6,5.0,8/26/2019,Recycled,0.4164,0.4486,0.0564,0.269,0.0153,0.0157,0.0152,0.0154
N,11X11TA,8,11,5.0,8/26/2019,Recycled,0.4175,0.4494,0.0552,0.2686,0.0157,0.0155,0.0163,0.0186
Q,11X11TA,1,6,5.0,8/29/2019,Recycled,0.4167,0.4495,0.053,0.2651,0.0152,0.0172,0.0164,0.0156
Q,11X11TA,2,1,5.0,8/29/2019,Recycled,0.4162,0.4488,0.0534,0.2657,0.0157,0.0153,0.0168,0.0157
Q,11X11TA,4,7,5.0,8/29/2019,Recycled,0.4166,0.4488,0.0536,0.2662,0.016,0.0165,0.0151,0.015
Q,11X11TA,11,5,5.0,8/29/2019,Recycled,0.4167,0.4494,0.0545,0.2665,0.0192,0.0156,0.015,0.0162
Q,11X11TA,11,7,5.0,8/29/2019,Recycled,0.4167,0.4485,0.0529,0.2662,0.0159,0.0154,0.0155,0.0159
R,11X11TA,9,8,5.0,8/30/2019,Recycled,0.4157,0.4506,0.0534,0.2667,0.0155,0.018,0.0152,0.0191
D,11X11TA,1,1,1.0,8/8/2019,Virgin,0.4171,0.4475,0.0553,0.2683,0.0153,0.0181,0.0159,0.0159
G,6X6TA,1,5,2.0,8/13/2019,Virgin,0.417,0.4485,0.0552,0.2674,0.0151,0.016,0.0141,0.0144
H,11X11TA,7,1,2.0,8/14/2019,Virgin,0.4177,0.4472,0.0538,0.2665,0.0156,0.015,0.0156,0.0156
H,11X11TA,11,5,2.0,8/14/2019,Virgin,0.4173,0.4477,0.0545,0.2668,0.0151,0.015,0.0147,0.0162
J,11X11TA,11,5,2.0,8/16/2019,Virgin,0.4167,0.4493,0.0547,0.2673,0.0157,0.016,0.016,0.0164
